시점,구별(1),전체_소계,시세_소계,구세_소계,시세_취득세,시세_레저세,시세_주민세,시세_자동차세,시세_담배소비세,시세_재산세,시세_지방소득세,시세_지방소비세,구세_등록면허세,구세_주민세,구세_재산세,구세_종합토지세,구세_면허세,구세_지방소득세,구세_지방소비세,목적세_시세_지역자원시설세,목적세_시세_지방교육세,목적세_구세_사업소세,과년도수입_시셰_소계,과년도수입_구셰_소계
2019년,합계,"23,568,222","20,458,073","3,110,150","5,590,806","128,189","579,017","940,104","565,435","2,841,097","5,805,876","1,928,261","432,420",-,"2,658,014",-33,-,-,-,"289,260","1,563,708",0,"226,319","19,750"
2019년,본청,"3,127,145","3,127,145",-,-85,-,0,"337,930","565,435",-,-394,"1,928,261",-,-,-,-,-,-,-,-,"248,733",-,"47,264",-
2019년,종로구,"989,810","870,591","119,219","185,602","3,975","44,522","9,847",-,"95,517","473,178",-,"17,958",-,"100,314",-,-,-,-,"11,903","41,777",-,"4,270",948
2019년,중구,"1,707,929","1,541,618","166,311","379,074","2,412","72,472","10,434",-,"138,906","831,365",-,"42,688",-,"122,928",0,-,-,-,"20,440","75,849",-,"10,667",695
2019년,용산구,"764,486","637,874","126,612","184,767",-,"19,209","16,665",-,"121,683","232,745",-,"12,397",-,"113,544",-,-,-,-,"9,157","48,212",-,"5,436",671
2019년,성동구,"582,273","476,538","105,735","194,026",-,"13,916","20,303",-,"86,463","107,847",-,"14,385",-,"90,993",-,-,-,-,"8,171","40,682",-,"5,131",356
2019년,광진구,"443,149","352,236","90,912","135,655","6,129","6,125","19,138",-,"67,890","72,827",-,"9,124",-,"81,371",-,-,-,-,"6,267","32,703",-,"5,502",417
2019년,동대문구,"436,483","349,322","87,161","135,461","21,072","8,022","18,154",-,"62,251","56,426",-,"8,785",-,"78,087",0,-,-,-,"6,668","36,609",-,"4,659",289
2019년,중랑구,"324,915","247,771","77,144","98,868","14,765","4,431","18,563",-,"44,866","29,167",-,"6,784",-,"69,783",-,-,-,-,"4,467","27,154",-,"5,491",577
2019년,성북구,"460,128","371,060","89,068","140,992","5,583","5,502","22,671",-,"67,020","83,997",-,"8,912",-,"79,574",-,-,-,-,"6,374","32,306",-,"6,616",582
2019년,강북구,"234,701","164,262","70,440","61,164","8,571","2,863","12,621",-,"34,165","19,480",-,"4,041",-,"65,918",-,-,-,-,"3,474","17,807",-,"4,119",480
2019년,도봉구,"252,935","181,093","71,842","66,435","7,628","3,142","16,848",-,"36,193","23,936",-,"5,370",-,"66,206",-,-,-,-,"3,356","19,444",-,"4,112",266
2019년,노원구,"346,657","262,243","84,414","85,130",-,"5,872","28,109",-,"61,722","43,160",-,"7,160",-,"76,736",-,-,-,-,"5,683","25,442",-,"7,126",518
2019년,은평구,"394,933","308,690","86,244","135,656",-,"4,741","23,140",-,"62,987","40,733",-,"8,645",-,"77,229",-,-,-,-,"6,901","28,503",-,"6,028",370
2019년,서대문구,"399,249","313,712","85,537","113,659",-,"8,912","16,480",-,"57,045","81,323",-,"8,682",-,"76,333",-,-,-,-,"6,142","25,386",-,"4,765",522
2019년,마포구,"793,808","669,978","123,830","241,472",-,"25,384","23,600",-,"116,880","189,581",-,"17,543",-,"105,759",-,-,-,-,"15,211","51,740",-,"6,110",528
2019년,양천구,"534,297","432,589","101,708","164,925",-,"7,038","28,890",-,"89,049","88,512",-,"10,394",-,"90,795",-,-,-,-,"7,839","39,309",-,"7,027",519
2019년,강서구,"826,542","692,559","133,983","299,737",-,"28,585","35,107",-,"107,396","137,829",-,"18,826",-,"114,647",-,-,-,-,"16,945","58,334",-,"8,624",510
2019년,구로구,"477,101","383,149","93,952","122,180",-,"16,883","25,195",-,"67,249","103,574",-,"13,500",-,"79,885",-33,-,-,-,"10,700","29,931",-,"7,437",599
2019년,금천구,"469,419","385,587","83,831","152,441",-,"19,341","15,158",-,"45,423","110,468",-,"12,364",-,"71,238",-,-,-,-,"11,470","27,076",-,"4,212",229
2019년,영등포구,"1,377,273","1,223,808","153,464","286,381","25,055","63,230","27,791",-,"126,137","594,265",-,"41,307",-,"111,442",-,-,-,-,"19,146","74,555",-,"7,249",716
